step,location,timezero,date,pred_median,pred_95_lb,pred_80_lb,pred_50_lb,pred_50_ub,pred_80_ub,pred_95_ub,na_value_count
1,Baden-Württemberg,2015-07-05,2015-07-12,-0.113010126180767,-2.09886426058249,-1.85610056078864,-0.787831596572481,0.575197048334764,1.51695692111494,1.84914757481486,0
2,Baden-Württemberg,2015-07-05,2015-07-19,0.060063419996892,-1.79685999200128,-1.52112368513969,-0.549725997744603,0.681743276358448,1.74401813209822,2.12186202729709,0
3,Baden-Württemberg,2015-07-05,2015-07-26,0.234797463966067,-1.88947100267855,-1.54264334727748,-0.472338617569327,0.914126733903492,1.91614969158826,2.21649920536483,0
4,Baden-Württemberg,2015-07-05,2015-08-02,0.0179416962265104,-1.98055321962808,-1.74642988769221,-0.728045018454638,0.612877499470136,1.52532971989856,1.8434930586993,0
5,Baden-Württemberg,2015-07-05,2015-08-09,0.136366116724621,-1.89857542242918,-1.5582353984952,-0.558989567955228,0.822134503322985,1.8805626757477,2.16170594701072,0
6,Baden-Württemberg,2015-07-05,2015-08-16,0.0110419636252166,-1.84869738212688,-1.54425508866439,-0.67382731357264,0.666494528868845,1.68944367254102,2.03294384775724,0
1,Bavaria,2015-07-05,2015-07-12,-0.321946536188242,-2.34060539163431,-2.02533316372927,-1.01376391641071,0.324293523643063,1.23220170179263,1.6062469056505,0
2,Bavaria,2015-07-05,2015-07-19,0.162023900232582,-1.88600682052785,-1.46709027663935,-0.564713053751421,0.853454221459343,1.79243619359899,2.10835744128494,0
3,Bavaria,2015-07-05,2015-07-26,0.377564149614955,-1.48128686064521,-1.23514796600332,-0.306197827267687,1.04956571543479,2.01510913616497,2.19023662707328,0
4,Bavaria,2015-07-05,2015-08-02,-0.276999038562216,-2.33398268608306,-1.88246351219264,-0.945354939300324,0.402033827213405,1.3230355100174,1.50423339718101,0
5,Bavaria,2015-07-05,2015-08-09,0.00183027763277709,-2.08880237052952,-1.73291549313698,-0.696282135466485,0.640895272893682,1.68177888790093,1.88737093721232,0
6,Bavaria,2015-07-05,2015-08-16,0.189418145820643,-1.64616168034851,-1.40034451077413,-0.493738765697245,0.869222760525056,1.99423864790209,2.32616929302475,0
1,Berlin,2015-07-05,2015-07-12,0.0345749182346544,-1.9540760911078,-1.58722320422985,-0.638682269030491,0.732206720915146,1.70986402450889,2.13303524157224,0
2,Berlin,2015-07-05,2015-07-19,-0.0215642597369452,-1.88451622231605,-1.66053725957148,-0.711805851701252,0.698053943428194,1.73609900380732,2.04197660434808,0
3,Berlin,2015-07-05,2015-07-26,0.0234988841872586,-1.98430211564111,-1.70769046508828,-0.648422427356841,0.730816284736283,1.77343605680947,2.01208956143528,0
4,Berlin,2015-07-05,2015-08-02,-0.181973325101616,-2.11802965852986,-1.82987940891677,-0.857575679294439,0.522340508581701,1.39399147285286,1.79553994180404,0
5,Berlin,2015-07-05,2015-08-09,0.273887932501911,-1.74907837368816,-1.46062159710457,-0.46690888482813,0.927867876553311,1.87059257929115,2.2414516336533,0
6,Berlin,2015-07-05,2015-08-16,-0.115041011437827,-1.99135309962098,-1.68332116462965,-0.691074337953771,0.554392305680904,1.64763651506694,1.85899512412977,0
1,Brandenburg,2015-07-05,2015-07-12,-0.0449013571080832,-2.13302724414959,-1.70685737011659,-0.797225771197903,0.586657877173667,1.54644033324081,1.83441445213148,0
2,Brandenburg,2015-07-05,2015-07-19,-0.0253221371818029,-1.99730229968779,-1.76424734899791,-0.735997448408077,0.686985316472066,1.72365742974468,2.11833876436787,0
3,Brandenburg,2015-07-05,2015-07-26,0.00124518083761633,-1.82793666688058,-1.52187280069705,-0.642862846491012,0.715738593129227,1.66636972733952,1.9555280610102,0
